latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
31.799244,72.728271,330.56,0.41,0.37,2020-01-02,0821,N,VIIRS,n,1,292.67,2.73,D,0
31.23632,70.659119,331.83,0.38,0.36,2020-01-02,0821,N,VIIRS,n,1,288.85,2.38,D,0
31.22851,70.652443,328.65,0.38,0.36,2020-01-02,0821,N,VIIRS,n,1,288.35,3.38,D,0
31.464329,72.490562,327.98,0.41,0.37,2020-01-02,0821,N,VIIRS,n,1,292.03,1.9,D,0
31.366678,72.798294,330.29,0.41,0.37,2020-01-02,0821,N,VIIRS,n,1,290.65,2.56,D,0
31.139963,72.059052,340.77,0.4,0.37,2020-01-02,0821,N,VIIRS,n,1,286.25,3.49,D,0
31.229427,72.734131,341.99,0.41,0.37,2020-01-02,0821,N,VIIRS,n,1,293.22,5.8,D,0
31.186108,73.00676,330.49,0.42,0.37,2020-01-02,0821,N,VIIRS,n,1,291.88,3.28,D,0
31.105364,72.488823,329.22,0.4,0.37,2020-01-02,0821,N,VIIRS,n,1,283.48,2.31,D,0
30.977018,72.66848,329.21,0.41,0.37,2020-01-02,0821,N,VIIRS,n,1,288.57,2.08,D,0
30.941553,72.086563,327.07,0.4,0.37,2020-01-02,0821,N,VIIRS,n,1,289.75,1.13,D,0
31.11145,72.842209,329.85,0.41,0.37,2020-01-02,0821,N,VIIRS,n,1,290.56,4.38,D,0
30.809774,70.728035,337.09,0.38,0.36,2020-01-02,0821,N,VIIRS,n,1,282.92,3.19,D,0
31.126812,72.826164,331.15,0.41,0.37,2020-01-02,0821,N,VIIRS,n,1,291.97,5.62,D,0
33.793926,72.591766,325.58,0.42,0.38,2020-01-02,0821,N,VIIRS,n,1,282.5,1.74,D,0
33.762478,72.485695,329.39,0.42,0.38,2020-01-02,0821,N,VIIRS,n,1,286.39,2.71,D,0
33.385067,71.449348,331.25,0.4,0.37,2020-01-02,0821,N,VIIRS,n,1,283.86,2.12,D,3
31.822233,72.926704,331.36,0.42,0.38,2020-01-02,0821,N,VIIRS,n,1,291.59,2.47,D,0
31.787968,72.775116,330.59,0.42,0.37,2020-01-02,0821,N,VIIRS,n,1,292.28,2.64,D,0
31.782274,72.785126,332.67,0.42,0.37,2020-01-02,0821,N,VIIRS,n,1,295.91,11.22,D,0
31.757429,72.677895,334.04,0.41,0.37,2020-01-02,0821,N,VIIRS,n,1,291.41,3.72,D,0
31.816883,73.128532,325.64,0.43,0.38,2020-01-02,0821,N,VIIRS,n,1,291,2.05,D,0
31.759243,72.717697,330.02,0.41,0.37,2020-01-02,0821,N,VIIRS,n,1,293.18,2.92,D,0
31.773884,72.881149,332.28,0.42,0.38,2020-01-02,0821,N,VIIRS,n,1,293.55,4.27,D,0
31.664034,72.168999,332.02,0.4,0.37,2020-01-02,0821,N,VIIRS,n,1,291.02,1.53,D,0
31.638741,72.779106,343.2,0.41,0.37,2020-01-02,0821,N,VIIRS,n,1,295.94,9.02,D,0
31.538382,72.473083,331.29,0.41,0.37,2020-01-02,0821,N,VIIRS,n,1,291.92,1.66,D,0
30.326809,70.539017,301.39,0.51,0.41,2020-01-02,2044,N,VIIRS,n,1,281.43,1.37,N,2
32.291859,70.735481,296.32,0.52,0.42,2020-01-02,2044,N,VIIRS,n,1,282.27,1.12,N,2
32.977638,71.561333,302.27,0.49,0.4,2020-01-02,2044,N,VIIRS,n,1,274.38,1.42,N,0
32.981331,71.562103,298.69,0.49,0.4,2020-01-02,2044,N,VIIRS,n,1,273.89,1.24,N,0
32.978577,71.563599,318.24,0.49,0.4,2020-01-02,2044,N,VIIRS,n,1,275.53,2.55,N,0
31.615614,74.373734,296.12,0.39,0.36,2020-01-02,2044,N,VIIRS,n,1,276.41,0.47,N,2
